City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,ghat,24.9647,10.1728,41.32,8,5,2.91,LY,1691513140
349,kiunga,-6.1219,141.2906,21.67,89,92,1.68,PG,1691513140
350,huatabampo,26.8333,-109.6333,36.29,43,6,3.82,MX,1691513140
351,san luis de la loma,17.2706,-100.8939,32.11,61,0,3.74,MX,1691513140
352,villa regina,-39.1,-67.0667,14.43,15,28,3.53,AR,1691513141
353,belomorsk,64.5232,34.7668,20.72,74,2,3.56,RU,1691513141
354,eyl,7.9803,49.8164,25.18,79,88,11.87,SO,1691513141
355,onega,63.9061,38.1404,20.6,63,0,4.64,RU,1691513141
356,namibe,-15.1961,12.1522,18.6,84,13,2.85,AO,1691513141
357,bonthe,7.5264,-12.505,26.83,80,80,5.75,SL,1691513138
358,cesme,38.3228,26.3064,30.84,55,0,5.14,TR,1691513141
359,linden,6.0,-58.3,33.59,53,100,1.33,GY,1691513141
360,kuvshinovo,57.0295,34.1725,18.97,72,30,2.14,RU,1691513141
361,juan griego,11.0817,-63.9655,31.72,62,0,1.83,VE,1691513141
362,byron bay,-28.65,153.6167,11.51,87,51,4.11,AU,1691513141
